Date,City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI
2023-02-23 14:23:37,Rangamati,98.68,106.88,8.23,1.18,427.25,0.08,154.5,0,5
2023-02-23 14:23:38,Habiganj,90.77,104.53,12.28,4.2,407.22,0.36,160.22,3.67,5
2023-02-23 14:23:38,Maulvibazar,77.05,88.3,8.11,3.73,403.88,0.32,158.79,3.1,5
2023-02-23 14:23:39,Sunamganj,52.77,58.89,5.96,1.71,433.92,0.18,105.86,2.25,4
2023-02-23 14:23:39,Sylhet,41.06,43.75,2.27,2.16,440.6,0.26,105.86,2.34,3
2023-02-23 14:23:40,Bagerhat,91.23,109.42,14.07,2.79,423.91,0.22,171.66,3.45,5
2023-02-23 14:23:40,Chuadanga,86.33,107.28,6.02,1.27,433.92,0.12,173.09,5.7,5
2023-02-23 14:23:41,Jessore,92.38,112.46,13.95,1.99,433.92,0.17,185.97,4.62,5
2023-02-23 14:23:41,Jhenaidah,97.37,118.57,10.97,1.93,467.3,0.16,185.97,5.83,5
2023-02-23 14:23:42,Khulna,89.21,108.68,12.99,1.93,413.9,0.16,177.38,4.12,5
2023-02-23 14:23:42,Kushtia,92.54,114.28,9.18,2.55,433.92,0.24,183.11,5.32,5
2023-02-23 14:23:43,Magura,98.1,117.28,13.35,2.31,433.92,0.2,194.55,4.5,5
2023-02-23 14:23:43,Meherpur,85.52,106.73,6.38,1.56,440.6,0.15,174.52,5.7,5
2023-02-23 14:23:44,Narail,88.64,107.69,12.88,1.93,413.9,0.17,180.24,4.37,5
2023-02-23 14:23:44,Satkhira,114.38,132.17,25.27,3.98,460.63,0.31,185.97,3.14,5
2023-02-23 19:03:08,Dhaka,149.9,204.2,9.06,100.08,2296.45,0.01,42.2,29.89,5
2023-02-23 19:03:08,Faridpur,124.48,159.16,7.09,32.22,807.76,0,64.37,41.04,5
2023-02-23 19:03:09,Gazipur,104.44,137.68,5.78,13.88,607.49,0,80.82,30.15,5
2023-02-23 19:03:09,Gopalganj,108.28,132.49,13.95,19.88,834.47,0,92.98,36.48,5
2023-02-23 19:03:10,Jamalpur,115.78,142.93,17.88,19.88,787.74,0,108.72,22.04,5
2023-02-23 19:03:10,Kishoreganj,116.3,146.63,6.26,20.22,827.79,0,85.83,32.93,5
2023-02-23 19:03:11,Madaripur,112.37,147.19,6.02,24.33,807.76,0.01,59.37,35.97,5
